=== Minecraft Coder Pack 2.9 === 
*** Compiling Minecraft 
[parsing started sources\minecraft\net\minecraft\client\Minecraft.java]
[parsing completed 42ms]
[parsing started sources\minecraft\net\minecraft\client\MinecraftApplet.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\AxisAlignedBB.java]
[parsing completed 3ms]
[parsing started sources\minecraft\net\minecraft\src\BaseMod.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\Block.java]
[parsing completed 10ms]
[parsing started sources\minecraft\net\minecraft\src\BlockBed.java]
[parsing completed 2ms]
[parsing started sources\minecraft\net\minecraft\src\BlockBetty.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockBloodStone.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockBookshelf.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockBreakable.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockButton.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockCactus.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockCake.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockChest.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockClay.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockCloth.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockContainer.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockCrops.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockDirt.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockDispenser.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockDoor.java]
[parsing completed 2ms]
[parsing started sources\minecraft\net\minecraft\src\BlockFence.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockFire.java]
[parsing completed 2ms]
[parsing started sources\minecraft\net\minecraft\src\BlockFlower.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockFlowing.java]
[parsing completed 2ms]
[parsing started sources\minecraft\net\minecraft\src\BlockFluids.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockFurnace.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockGlass.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockGrass.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockGravel.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockIce.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockInvisPressurePlate.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockInvisPressurePlateDebris.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockJukeBox.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockLadder.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockLeaves.java]
[parsing completed 5ms]
[parsing started sources\minecraft\net\minecraft\src\BlockLeavesBase.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockLever.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockLightStone.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockLog.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockMinecartTrack.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockMobSpawner.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockMobSpawnerWave.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockMushroom.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockNote.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockObsidian.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockOre.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockOreBlock.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockPortal.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockPressurePlate.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockPumpkin.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockRedstoneOre.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockRedstoneRepeater.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockRedstoneTorch.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockRedstoneWire.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockReed.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSand.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSandStone.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSapling.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSign.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSlowSand.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSnow.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSnowBlock.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSoil.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockSponge.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockStairs.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockStationary.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockStep.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockStone.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockTNT.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\BlockTorch.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\BlockWorkbench.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\CanvasCrashReport.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\CanvasIsomPreview.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\CanvasMajongLogo.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\CanvasMinecraftApplet.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChatLine.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\Chunk.java]
[parsing completed 5ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkCache.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkCoordinates.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkCoordIntPair.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkFilePattern.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkFolderPattern.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkLoader.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkPosition.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkProviderClient.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkProviderGenerate.java]
[parsing completed 2ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkProviderHell.java]
[parsing completed 1ms]
[parsing started sources\minecraft\net\minecraft\src\ChunkProviderLoadOrGenerate.java]
[parsing completed 0ms]
[parsing started sources\minecraft\net\minecraft\src\ClippingHelper.java]
[parsing completed 0ms]
